Order,Seasonal Order,AIC,BIC
"(2, 2, 3)","(1, 0, 0, 52)",2542.523017847849,2563.1643370804964
"(2, 2, 3)","(1, 0, 1, 52)",1828.8325584563054,1852.308349921351
"(2, 2, 3)","(1, 1, 0, 52)",1576.8131857659216,1594.2336403540467
"(2, 2, 3)","(1, 1, 1, 52)",1539.2101953531383,1558.937460302375
"(2, 2, 4)","(0, 0, 0, 52)",3487.713359278451,3510.4425277835744
"(2, 2, 4)","(0, 0, 1, 52)",4671.662029534883,4695.080059016141
"(2, 2, 4)","(0, 1, 0, 52)",2502.247365626662,2522.7381414227625
"(2, 2, 4)","(0, 1, 1, 52)",1519.3509421010979,1538.985720471126
"(2, 2, 4)","(1, 0, 0, 52)",2558.5445688374894,2582.1346479605145
"(2, 2, 4)","(1, 0, 1, 52)",13523955.49434617,13523981.839629335
"(2, 2, 4)","(1, 1, 0, 52)",1576.905218107802,1596.8143090656592
"(2, 2, 4)","(1, 1, 1, 52)",1524.31824956663,1546.4073752329114
"(2, 2, 5)","(0, 0, 0, 52)",3468.5453976472218,3494.4793737676987
"(2, 2, 5)","(0, 0, 1, 52)",3666.9984913767366,3693.27831970919
"(2, 2, 5)","(0, 1, 0, 52)",2479.315518111137,2502.6753655177617
"(2, 2, 5)","(0, 1, 1, 52)",1500.64475698552,1522.6286182939327
"(2, 2, 5)","(1, 0, 0, 52)",2560.0314045585783,2586.570243571982
"(2, 2, 5)","(1, 0, 1, 52)",2585.1246938772692,2614.3245031355505
"(2, 2, 5)","(1, 1, 0, 52)",1576.289903982277,1598.6876313098664
"(2, 2, 5)","(1, 1, 1, 52)",1503.0991736756173,1527.5256862405204
"(2, 2, 6)","(0, 0, 0, 52)",3451.719666421376,3480.847644086846
"(2, 2, 6)","(0, 0, 1, 52)",3678.418579567494,3707.5451284248543
"(2, 2, 6)","(0, 1, 0, 52)",2452.316831697624,2478.5307256692486
"(2, 2, 6)","(0, 1, 1, 52)",1479.8398814598938,1504.148049448327
"(2, 2, 6)","(1, 0, 0, 52)",2555.7193957038617,2585.2069946076435
"(2, 2, 6)","(1, 0, 1, 52)",4986.872852616047,5018.912056359143
"(2, 2, 6)","(1, 1, 0, 52)",1573.0504835104296,1597.936847207751
"(2, 2, 6)","(1, 1, 1, 52)",1482.469288761545,1509.2082735488214
"(3, 0, 0)","(0, 0, 0, 52)",3549.440524709812,3562.511957346065
"(3, 0, 0)","(0, 0, 1, 52)",5775.71222979433,5790.56129629221
"(3, 0, 0)","(0, 1, 0, 52)",2510.8323266562093,2522.6556348866143
"(3, 0, 0)","(0, 1, 1, 52)",1616.4220107208628,1629.030953606108
"(3, 0, 0)","(1, 0, 0, 52)",2535.110034492691,2549.889169780697
"(3, 0, 0)","(1, 0, 1, 52)",6193.706028743236,6211.4409910888435
"(3, 0, 0)","(1, 1, 0, 52)",1579.3397391096335,1591.8387874612847
"(3, 0, 0)","(1, 1, 1, 52)",1578.908736604279,1593.9075946262606
"(3, 0, 1)","(0, 0, 0, 52)",3551.519049057307,3567.8583398526234
"(3, 0, 1)","(0, 0, 1, 52)",11658.187229299318,11675.964297080876
"(3, 0, 1)","(0, 1, 0, 52)",2512.2991528632147,2527.078288151221
"(3, 0, 1)","(0, 1, 1, 52)",1596.1076797117698,1611.1728367508708
"(3, 0, 1)","(1, 0, 0, 52)",2535.117313925635,2552.8522762712423
"(3, 0, 1)","(1, 0, 1, 52)",141741435381.40402,141741435402.09482
"(3, 0, 1)","(1, 1, 0, 52)",1579.496628867052,1594.4954868890336
"(3, 0, 1)","(1, 1, 1, 52)",1580.6868410020684,1598.1855086943801
"(3, 0, 2)","(0, 0, 0, 52)",3543.7562315469704,3563.3633805013505
"(3, 0, 2)","(0, 0, 1, 52)",10283.79639945141,10304.487188854619
"(3, 0, 2)","(0, 1, 0, 52)",2514.260084075826,2531.9950464214335
"(3, 0, 2)","(0, 1, 1, 52)",1587.0207385029962,1604.519406195308
