Order,Seasonal Order,AIC,BIC
"(0, 0, 0)","(0, 0, 0, 52)",4842.550078582597,4845.828193241828
"(0, 0, 0)","(0, 0, 1, 52)",5960.658488128374,5966.598114727526
"(0, 0, 0)","(0, 1, 0, 52)",2574.5095234641576,2577.4793367637335
"(0, 0, 0)","(0, 1, 1, 52)",1643.6030726045217,1648.6466497586198
"(0, 0, 0)","(1, 0, 0, 52)",2566.2116435977027,2572.1651110825437
"(0, 0, 0)","(1, 0, 1, 52)",3611.9311361429814,3620.8405760417095
"(0, 0, 0)","(1, 1, 0, 52)",1659.6941194508443,1664.7593184371508
"(0, 0, 0)","(1, 1, 1, 52)",1635.3429870141729,1642.90835274532
"(0, 0, 1)","(0, 0, 0, 52)",5462.494129336379,5469.040128453506
"(0, 0, 1)","(0, 0, 1, 52)",163244.7864929619,163253.67502685267
"(0, 0, 1)","(0, 1, 0, 52)",2544.346019646212,2550.271708906732
"(0, 0, 1)","(0, 1, 1, 52)",1609.771840577451,1617.3044190970015
"(0, 0, 1)","(1, 0, 0, 52)",3471.7215774245,3480.651778651762
"(0, 0, 1)","(1, 0, 1, 52)",161809.57025821533,161821.42163673637
"(0, 0, 1)","(1, 1, 0, 52)",1646.1353232423521,1653.7331217218118
"(0, 0, 1)","(1, 1, 1, 52)",1603.9300372820614,1613.9734753081289
"(0, 0, 2)","(0, 0, 0, 52)",4622.1263925955245,4631.929967072714
"(0, 0, 2)","(0, 0, 1, 52)",154458.90318448347,154470.72649271387
"(0, 0, 2)","(0, 1, 0, 52)",2522.51895811831,2531.3864392911137
"(0, 0, 2)","(0, 1, 1, 52)",1588.4693543428773,1598.4685930241983
"(0, 0, 2)","(1, 0, 0, 52)",3443.435282348649,3455.342217318331
"(0, 0, 2)","(1, 0, 1, 52)",153637.82581231484,153652.60494760284
"(0, 0, 2)","(1, 1, 0, 52)",1640.218907965815,1650.3493059384282
"(0, 0, 2)","(1, 1, 1, 52)",1585.5423240687714,1598.0413724204227
"(0, 0, 3)","(0, 0, 0, 52)",4588.734585549635,4601.785346305254
"(0, 0, 3)","(0, 0, 1, 52)",149012.6869358698,149027.4307353217
"(0, 0, 3)","(0, 1, 0, 52)",2496.0891392623457,2507.8841788238583
"(0, 0, 3)","(0, 1, 1, 52)",1568.7428205720546,1581.1860024207153
"(0, 0, 3)","(1, 0, 0, 52)",3445.078106370784,3459.961775082887
"(0, 0, 3)","(1, 0, 1, 52)",145727.29199284792,145744.9845521902
"(0, 0, 3)","(1, 1, 0, 52)",1638.8320604023995,1651.4950578681658
"(0, 0, 3)","(1, 1, 1, 52)",1560.7483450788193,1575.6801632972122
"(0, 0, 4)","(0, 0, 0, 52)",4562.782728286125,4579.070205146264
"(0, 0, 4)","(0, 0, 1, 52)",126513.51031797672,126531.16017251238
"(0, 0, 4)","(0, 1, 0, 52)",2480.0554333414925,2494.763645454539
"(0, 0, 4)","(0, 1, 1, 52)",1547.6072228392707,1562.4712437261398
"(0, 0, 4)","(1, 0, 0, 52)",3446.843538946083,3464.7039414006063
"(0, 0, 4)","(1, 0, 1, 52)",24298.1268385196,24318.718335477868
"(0, 0, 4)","(1, 1, 0, 52)",1639.6123470495916,1654.8079440085112
"(0, 0, 4)","(1, 1, 1, 52)",1541.1951634621566,1558.5365211635042
"(0, 0, 5)","(0, 0, 0, 52)",4539.273395082832,4558.787035651112
"(0, 0, 5)","(0, 0, 1, 52)",146804.6505977054,146825.19191523732
