Order,Seasonal Order,AIC,BIC
"(3, 1, 3)","(1, 0, 0, 52)",2515.702271095734,2539.292350218759
"(3, 1, 3)","(1, 0, 1, 52)",6954.017011767412,6980.491793570896
"(3, 1, 3)","(1, 1, 0, 52)",1569.9096536812374,1589.8187446390946
"(3, 1, 3)","(1, 1, 1, 52)",1547.5434810609545,1569.8395123912583
"(3, 1, 4)","(0, 0, 0, 52)",3491.6887199632756,3517.7069073876487
"(3, 1, 4)","(0, 0, 1, 52)",5818.013910885739,5844.424176283916
"(3, 1, 4)","(0, 1, 0, 52)",2464.1148969625865,2487.590688427632
"(3, 1, 4)","(0, 1, 1, 52)",1529.4965678448652,1551.6897409127564
"(3, 1, 4)","(1, 0, 0, 52)",2519.3501401042095,2545.888979117613
"(3, 1, 4)","(1, 0, 1, 52)",3839.977566016164,3869.322305347471
"(3, 1, 4)","(1, 1, 0, 52)",1566.8791203432008,1589.2768476707902
"(3, 1, 4)","(1, 1, 1, 52)",1530.421880363956,1555.0809615505018
"(3, 1, 5)","(0, 0, 0, 52)",3474.693060239351,3503.9162768887954
"(3, 1, 5)","(0, 0, 1, 52)",4277.501341622371,4306.773878473943
"(3, 1, 5)","(0, 1, 0, 52)",2451.424995788693,2477.770278955108
"(3, 1, 5)","(0, 1, 1, 52)",1510.540303349658,1535.083776312193
"(3, 1, 5)","(1, 0, 0, 52)",2521.820158935122,2551.307757838904
"(3, 1, 5)","(1, 0, 1, 52)",740.0550988211489,772.2548893578781
"(3, 1, 5)","(1, 1, 0, 52)",1571.281216721054,1596.1675804183756
"(3, 1, 5)","(1, 1, 1, 52)",1512.0029230678213,1539.0007433266098
"(3, 1, 6)","(0, 0, 0, 52)",3457.389842695241,3489.8073128458373
"(3, 1, 6)","(0, 0, 1, 52)",11225.262059416084,11257.381849600193
"(3, 1, 6)","(0, 1, 0, 52)",2431.7495532737466,2460.949362532028
"(3, 1, 6)","(0, 1, 1, 52)",1493.7757683154568,1520.6449321368502
"(3, 1, 6)","(1, 0, 0, 52)",2524.219081993093,2556.6554407872527
"(3, 1, 6)","(1, 0, 1, 52)",7339.15297429003,7374.192745399968
"(3, 1, 6)","(1, 1, 0, 52)",1572.1613608729392,1599.5363609399928
"(3, 1, 6)","(1, 1, 1, 52)",1495.7364865241807,1525.0483016020644
"(3, 2, 0)","(0, 0, 0, 52)",3585.001160313554,3598.031141801665
"(3, 2, 0)","(0, 0, 1, 52)",5150.05109563901,5164.830230927017
"(3, 2, 0)","(0, 1, 0, 52)",2545.502546811708,2557.269116502145
"(3, 2, 0)","(0, 1, 1, 52)",1627.9177911841257,1640.416839535777
"(3, 2, 0)","(1, 0, 0, 52)",2553.1787405430528,2567.8869526560993
"(3, 2, 0)","(1, 0, 1, 52)",5153.328473727991,5170.978328263647
"(3, 2, 0)","(1, 1, 0, 52)",1583.323121492305,1595.7098055646961
"(3, 2, 0)","(1, 1, 1, 52)",1583.2790221531768,1598.143043040046
"(3, 2, 1)","(0, 0, 0, 52)",3575.9119760843646,3592.1994529445037
"(3, 2, 1)","(0, 0, 1, 52)",2793.2032277255566,2810.8957870678255
"(3, 2, 1)","(0, 1, 0, 52)",2539.7028060581833,2554.41101817123
"(3, 2, 1)","(0, 1, 1, 52)",1591.7333985454372,1606.6652167638301
"(3, 2, 1)","(1, 0, 0, 52)",2498.2512671527556,2515.9011216884114
"(3, 2, 1)","(1, 0, 1, 52)",288.125061866216,308.7165588244811
"(3, 2, 1)","(1, 1, 0, 52)",1563.9079601985673,1578.7719810854364
"(3, 2, 1)","(1, 1, 1, 52)",1572.6153574143073,1589.9567151156548
"(3, 2, 2)","(0, 0, 0, 52)",3528.8749970744893,3548.419969306656
"(3, 2, 2)","(0, 0, 1, 52)",10982.716712815614,11003.308209773879
"(3, 2, 2)","(0, 1, 0, 52)",2540.2121811170205,2557.8620356526762
"(3, 2, 2)","(0, 1, 1, 52)",1572.2264695742904,1589.567827275638
"(3, 2, 2)","(1, 0, 0, 52)",2522.683002928531,2543.274499886796
"(3, 2, 2)","(1, 0, 1, 52)",9746.60053061936,9770.133670000234
"(3, 2, 2)","(1, 1, 0, 52)",1570.101467258925,1587.4428249602724
"(3, 2, 2)","(1, 1, 1, 52)",1570.7806373195206,1590.5993318353462
"(3, 2, 3)","(0, 0, 0, 52)",3502.847919807775,3525.6138338041014
"(3, 2, 3)","(0, 0, 1, 52)",7677.335445106972,7700.811236572017
"(3, 2, 3)","(0, 1, 0, 52)",2524.8214950651445,2545.3628125970595
"(3, 2, 3)","(0, 1, 1, 52)",1549.248179262158,1568.9754442113947
"(3, 2, 3)","(1, 0, 0, 52)",2516.579317794908,2540.1124571757823
"(3, 2, 3)","(1, 0, 1, 52)",8705.180023569954,8731.59028896813
"(3, 2, 3)","(1, 1, 0, 52)",1567.1311378216415,1586.9498323374671
"(3, 2, 3)","(1, 1, 1, 52)",1549.906354472406,1572.0995275402972
"(3, 2, 4)","(0, 0, 0, 52)",3488.44420626777,3514.420398845054
"(3, 2, 4)","(0, 0, 1, 52)",2706.1180112857623,2732.4632944521773
"(3, 2, 4)","(0, 1, 0, 52)",2504.169574643532,2527.58760412479
"(3, 2, 4)","(0, 1, 1, 52)",1516.3132626082202,1538.4023882745016
"(3, 2, 4)","(1, 0, 0, 52)",2525.477007285215,2551.951789088699
"(3, 2, 4)","(1, 0, 1, 52)",5934.520966007562,5963.793502859134
"(3, 2, 4)","(1, 1, 0, 52)",1559.0701622424542,1581.366193572758
"(3, 2, 4)","(1, 1, 1, 52)",1520.9838851059017,1545.5273580684368
"(3, 2, 5)","(0, 0, 0, 52)",3473.570177960257,3502.7459010957937
"(3, 2, 5)","(0, 0, 1, 52)",8482.940864987735,8512.140674246017
"(3, 2, 5)","(0, 1, 0, 52)",2481.7232929035044,2508.0031212359577
"(3, 2, 5)","(0, 1, 1, 52)",1500.9632285015987,1525.3897410665018
"(3, 2, 5)","(1, 0, 0, 52)",2528.555783997167,2557.97220822326
"(3, 2, 5)","(1, 0, 1, 52)",10293.126855888568,10325.246646072677
"(3, 2, 5)","(1, 1, 0, 52)",1562.3848169784255,1587.1581851232077
"(3, 2, 5)","(1, 1, 1, 52)",1504.8223844523334,1531.6915482737268
"(3, 2, 6)","(0, 0, 0, 52)",3454.095039267384,3486.4594588956834
"(3, 2, 6)","(0, 0, 1, 52)",7241.288547164808,7273.327750907904
"(3, 2, 6)","(0, 1, 0, 52)",2455.991161623881,2485.1177104812414
"(3, 2, 6)","(0, 1, 1, 52)",1481.7591102397714,1508.4980950270478
"(3, 2, 6)","(1, 0, 0, 52)",2524.6039933084776,2556.96205995718
