Order,Seasonal Order,AIC,BIC
"(5, 0, 5)","(0, 1, 0, 52)",2473.507863573779,2505.7870768382168
"(5, 0, 5)","(0, 1, 1, 52)",1535.075051049848,1564.665948473703
"(5, 0, 5)","(1, 0, 0, 52)",2506.3952548486545,2541.694963919966
"(5, 0, 5)","(1, 0, 1, 52)",1784.727247531484,1822.875408662183
"(5, 0, 5)","(1, 1, 0, 52)",1554.362234863826,1584.0902766375643
"(5, 0, 5)","(1, 1, 1, 52)",1536.1487449680578,1568.2055505105675
"(5, 0, 6)","(0, 0, 0, 52)",3484.1886727823767,3523.1529616483026
"(5, 0, 6)","(0, 0, 1, 52)",5391.7078844054895,5429.762182312533
"(5, 0, 6)","(0, 1, 0, 52)",2450.81754233521,2485.9445865570965
"(5, 0, 6)","(0, 1, 1, 52)",1514.782877725249,1546.6893925765446
"(5, 0, 6)","(1, 0, 0, 52)",2509.6979216347117,2547.9392731286325
"(5, 0, 6)","(1, 0, 1, 52)",8644.375444619376,8685.356996211576
"(5, 0, 6)","(1, 1, 0, 52)",1552.8556920084382,1585.0610705966549
"(5, 0, 6)","(1, 1, 1, 52)",1518.1119275837787,1552.4727897313278
"(5, 1, 0)","(0, 0, 0, 52)",3491.492017006207,3511.0056575744866
"(5, 1, 0)","(0, 0, 1, 52)",11730.249019503794,11750.988931915614
"(5, 1, 0)","(0, 1, 0, 52)",2470.0623006011465,2487.6691441999305
"(5, 1, 0)","(0, 1, 1, 52)",1608.5164841269482,1626.092500672566
"(5, 1, 0)","(1, 0, 0, 52)",2456.907015883843,2477.448333415758
"(5, 1, 0)","(1, 0, 1, 52)",8664.571226528682,8688.047017993727
"(5, 1, 0)","(1, 1, 0, 52)",1533.1907310305864,1550.4520878611686
"(5, 1, 0)","(1, 1, 1, 52)",1527.823174388891,1547.5504393381277
"(5, 1, 1)","(0, 0, 0, 52)",3491.9628073350277,3514.7287213313543
"(5, 1, 1)","(0, 0, 1, 52)",4610.388170845621,4634.034787306431
"(5, 1, 1)","(0, 1, 0, 52)",2470.286947130565,2490.82826466248
"(5, 1, 1)","(0, 1, 1, 52)",1583.6069318262669,1603.605409188909
"(5, 1, 1)","(1, 0, 0, 52)",2479.2514188669766,2502.727210332022
"(5, 1, 1)","(1, 0, 1, 52)",2447.0364749707765,2473.4467403689528
"(5, 1, 1)","(1, 1, 0, 52)",1531.7332934978194,1551.4605584470562
"(5, 1, 1)","(1, 1, 1, 52)",1532.2415460544062,1554.4347191222973
"(5, 1, 2)","(0, 0, 0, 52)",3493.4290859944963,3519.4472734188694
"(5, 1, 2)","(0, 0, 1, 52)",775.1532501288077,801.6920891422112
"(5, 1, 2)","(0, 1, 0, 52)",2470.146913847121,2493.6227053121665
"(5, 1, 2)","(0, 1, 1, 52)",1566.3300814820775,1588.7278088096668
"(5, 1, 2)","(1, 0, 0, 52)",2481.3882303058817,2507.798495704058
"(5, 1, 2)","(1, 0, 1, 52)",11304.462912774034,11333.80765210534
"(5, 1, 2)","(1, 1, 0, 52)",1533.6775168372947,1555.8706899051858
"(5, 1, 2)","(1, 1, 1, 52)",1530.7539126045056,1555.4129937910513
